"","Company","mkt_cap","pe","employees","recommend"
"153","EIX","25.45B","42.87","13388",1
"154","EL","87.22B","60.24","63000",1
"155","EMN","10.00B","13.43","14500",0
"156","EMR","47.93B","19.11","85500",0
"157","ENPH","28.91B","79.73","2821",1
"158","EOG","68.70B","8.92","2850",1
"159","EPAM","17.59B","43.32","59300",1
"160","EQIX","62.80B","90.43","12097",1
"161","EQR","23.01B","29.95","2400",0
"162","ES","25.66B","18.51","9626",0
"163","ESS","14.63B","36.99","1772",0
"164","ETN","69.58B","28.86","92000",1
"165","ETR","21.65B","19.27","11707",1
"166","ETSY","13.76B","-","2790",1
"167","EVRG","13.34B","18","4512",0
"168","EW","46.03B","31.68","17300",1
"169","EXC","40.02B","19.83","19063",1
"170","EXPD","17.19B","13.46","19900",0
"171","EXPE","16.16B","50.3","16500",1
"172","EXR","21.82B","25.55","4781",0
"173","F","49.64B","-","173000",0
"174","FANG","25.70B","5.76","972",1
"175","FAST","29.79B","28.05","19854",0
"176","FCX","56.79B","17.03","25600",1
"177","FDS","15.37B","37.25","11627",0
"178","FDX","52.34B","16.45","191000",1
"179","FE","22.34B","56.01","12335",1
"180","FFIV","8.63B","29.17","7089",0
"181","FIS","37.22B","-","69000",1
"182","FISV","72.79B","29.96","41000",1
"183","FITB","22.48B","10.06","19319",1
"184","FLT","15.20B","16.82","9900",1
"185","FMC","16.01B","19.4","6600",1
"186","FOX","17.90B","11.75","10600",0
"187","FOXA","17.97B","12.7","10600",0
"188","FRC","20.44B","13.9","7114",1
"189","FRT","8.46B","30.54","310",1
"190","FTNT","47.49B","57.8","12595",1
"191","FTV","23.56B","32.04","18000",1
"192","GD","62.10B","18.63","106500",1
"193","GE","94.02B","160.18","172000",1
"194","GILD","98.23B","22.05","17000",0
"195","GIS","46.30B","16.54","32500",0
"196","GL","11.45B","15.84","3543",0
"197","GLW","27.69B","22.37","57500",1
"198","GM","53.45B","6.48","167000",1
"199","GNRC","7.24B","22.43","9160",1
"200","GOOG","1209.64B","20.31","190234",1
"201","GOOGL","1187.65B","21.01","190234",1
"202","GPC","23.64B","20.3","58000",0
"203","GPN","28.13B","250.37","25000",1
"204","GRMN","18.57B","19.45","19700",0
"205","GS","114.54B","11.62","48500",1
"206","GWW","34.50B","23.13","23000",0
"207","HAL","33.16B","21.49","45000",1
"208","HAS","7.22B","36.18","6490",1
"209","HBAN","20.49B","9.96","19920",0
"210","HCA","67.90B","13.07","207000",1
"211","HD","291.68B","17.47","490600",1
"212","HES","41.33B","20.07","1623",1
