"","date","series_id","value","realtime_start","realtime_end"
"472",2019-10-12,"ICNSA",201677,2025-02-27,2025-02-27
"473",2019-10-19,"ICNSA",186748,2025-02-27,2025-02-27
"474",2019-10-26,"ICNSA",198733,2025-02-27,2025-02-27
"475",2019-11-02,"ICNSA",205625,2025-02-27,2025-02-27
"476",2019-11-09,"ICNSA",238996,2025-02-27,2025-02-27
"477",2019-11-16,"ICNSA",227892,2025-02-27,2025-02-27
"478",2019-11-23,"ICNSA",252428,2025-02-27,2025-02-27
"479",2019-11-30,"ICNSA",216827,2025-02-27,2025-02-27
"480",2019-12-07,"ICNSA",317866,2025-02-27,2025-02-27
"481",2019-12-14,"ICNSA",270547,2025-02-27,2025-02-27
"482",2019-12-21,"ICNSA",287243,2025-02-27,2025-02-27
"483",2019-12-28,"ICNSA",312524,2025-02-27,2025-02-27
